"NAME_3","NAME_4","VDC_name"
"Gulmi","DhurkotBastu","Dhurkotbastu"
"Gulmi","IsmaRajasthal","Ismarajasthal"
"Gulmi","DhurkotBhanbhane","Dhurkotbhanbhane"
"Gulmi","DhurkotNayagaun","Dhurkotnayagaun"
"Gulmi","DhurkotRajasthal","Dhurkotrajasthal"
"Gulmi","JaisithokMandan","Jaisithok"
"Gulmi","MyalPokhari","Myalpokhari"
"Gulmi","PauchhiAmarayee","Pauchhiamarayee"
"Gulmi","PurkotDaha","Purkotdaha"
"Gulmi","MusikotKhalanga","Musikot"
"Humla","ShreeNagar","Shreenagar"
"Ilam","NayaBazar","Nayabazar"
"Ilam","ShreeAntu","Shreeantu"
"Ilam","IlamN.P.","Ilam N.P."
"Ilam","PasupatiNagar","Pasupatinagar"
"Ilam","Panchkanya","Panchakanya"
"Ilam","PhikalBazar","Phikalbazar"
"Jajarkot","JungaThapachaur","Jungathapachaur"
"Jajarkot","ThalaRaikar","Thalaraikar"
"Jhapa","MechinagarN.P.","Mechinagar N.P."
"Jhapa","Baigundhura","Baigundhara"
"Jhapa","BhadrapurN.P.","Bhadrapur N.P."
"Jhapa","DamakN.P.","Damak N.P."
"Jumla","Shanigaun","Sanigaun"
"Jumla","Malikathota","Malika"
"Jumla","MahabePattharkhola","Mahabepattharkhola"
"Jumla","Kalika","Talium"
"Jumla","GhodeMahadev","Ghodemahadev"
"Kailali","Phulbari","Phulwari"
"Kailali","KotaTulsipur","Kotatulsipur"
"Kailali","RamsikharJhala","Ramsikharjhala"
"Kailali","Ratnapur","Ratanpur"
"Kailali","DhangadhiN.P.","Dhangadi N.P."
"Kailali","TikapurN.P.","Tikapur N.P."
"Kalikot","Rupsha","Rupsa"
"Kalikot","Phoi Mahadev","Phui Mahadev"
"Kalikot","Odanku","Odanaku"
"Kalikot","Dah","Daha"
"Kalikot","Chapre","Chhapre"
"Kanchanpur","Shankarpur","Sankarpur"
"Kanchanpur","RauteliBichawa","Rautelibichawa"
"Kanchanpur","RampurBilaspur","Rampurbilaspur"
"Kanchanpur","RaikawarBichawa","Raikawarbichawa"
"Kanchanpur","MahendranagarN.P.","Mahendranagar N.P."
"Kanchanpur","BaisiBichawa","Baisibichawa"
"Kapilbastu","KapilbastuN.P.","Kapilbastu N.P."
"Kapilbastu","KrishnaNagar","Krishnanagar"
"Kapilbastu","Pipra","Pipara"
"Kapilbastu","VidhyaNagar","Vidhyanagar"
"Kaski","DhikurePokhari","Dhikurepokhari"
"Kaski","LekhnathN.P.","Lekhnath N.P."
"Kaski","KritinachneChaur","Kritinachnechaur"
"Kaski","ArbaVijaya","Arbavijaya"
"Kaski","BhadaureTamagi","Bhadauretamagi"
"Kaski","PokharaN.P.","Pokhara N.P."
"Kathmandu","KathmanduN.P.","Kathmandu N.P."
"Kathmandu","NaikapNayaBhanjyang","Naikapnayabhanjyang"
"Kathmandu","NaikapPuranoBhanjya","Naikappuranobhanjyang"
"Kathmandu","IchangNarayan","Ichangnarayan"
"Kathmandu","ChapaliBhadrakali","Chapalibhadrakali"
"Kathmandu","KhadkaBhadrakali","Khadkabhadrakali"
"Kathmandu","Bajrayogini","Bajrayogini(Sankhu)"
"Kathmandu","ChouketarDahachok","Chouketardahachok"
"Kathmandu","Baad Bhanjyang","Baadbhanjyang"
"Kathmandu","KirtipurN.P.","Kirtipur N.P."
"Kathmandu","TokhaChandeswori","Tokhachandeswori"
"Kathmandu","TokhaSarswoti","Tokhasarswoti"
"Kavrepalanchok","BanakhuChor","Banakhuchor"
"Kavrepalanchok","Salmechakala(Taldhu","Salmechakala(Taldhunga)"
"Kavrepalanchok","ChalalGaneshsthan","Chalalganeshsthan"
"Kavrepalanchok","DapchaChatraibhanjh","Dapchachatraibhanjha"
"Kavrepalanchok","DaraunePokhari","Daraunepokhari"
"Kavrepalanchok","DeuvumiBaluwa","Deuvumibaluwa"
"Kavrepalanchok","DhulikhelN.P","Dhulikhel N.P."
"Kavrepalanchok","HokseBazar","Hoksebazar"
"Kavrepalanchok","KalatiBhumidanda","Kalatibhumidanda"
"Kavrepalanchok","KanpurKalapani","Kanpurkalapani"
"Kavrepalanchok","KartikeDeurali","Kartikedeurali"
"Kavrepalanchok","KatunjeBesi","Katunjebesi"
"Kavrepalanchok","UgrataraJanagal","Ugratarajanagal"
"Kavrepalanchok","ThuloParsel","Thuloparsel"
"Kavrepalanchok","BekhsimleDhartigaun","Bekhsimledhartigaun"
"Kavrepalanchok","SipaliChilaune","Sipalichilaune"
"Kavrepalanchok","DhuseniSiwalaya","Dhusenisiwalaya"
"Kavrepalanchok","TukuchaNala","Tukuchanala"
"Kavrepalanchok","NayagaunDeupur","Nayagaundeupur"
"Kavrepalanchok","SathigharBhagawati","Sathigharbhagawati"
"Kavrepalanchok","MahadevsthanMandan","Mahadevsthanmandan"
"Kavrepalanchok","JyamdiMandan","Jyamdimandan"
"Kavrepalanchok","BanepaN.P.","Banepa N.P."
"Kavrepalanchok","GairiBisounaDeupur","Gairibisounadeupur"
"Kavrepalanchok","KavreNityaChandeswor","Kavrenityachandeswor"
"Kavrepalanchok","KhaharePangu","Khaharepangu"
"Kavrepalanchok","KolatiBhumlu","Kolatibhumlu"
"Kavrepalanchok","KuruwasChapakhori","Kuruwaschapakhori"
"Kavrepalanchok","MadanKundari","Madankundari"
"Kavrepalanchok","MahankalChaur","Mahankalchaur"
"Kavrepalanchok","ChyasingKharka","Chyasingkharka"
"Kavrepalanchok","MahendraJyoti","Mahendrajyoti"
"Kavrepalanchok","BaluwapatiDeupur","Baluwapatideupur"
"Kavrepalanchok","MajhiFeda","Majhifeda"
"Kavrepalanchok","MathurapatiFulbari","Mathurapatifulbari"
"Kavrepalanchok","NagreGagarche","Nagregagarche"
"Kavrepalanchok","ChandeniMandan","Chandenimandan"
"Kavrepalanchok","NasikasthanSanga","Nasikasthansanga"
"Kavrepalanchok","JaisithokMandan","Jaisithokmandan"
"Kavrepalanchok","PanautiN.P.","Panauti N.P."
"Kavrepalanchok","PokhariChauri","Pokharichauri"
"Kavrepalanchok","PokhariNarayansthan","Pokharinarayansthan"
"Kavrepalanchok","PuranogaunDapcha","Puranogaundapcha"
"Kavrepalanchok","SimalchourSyampati","Simalchoursyampati"
"Kavrepalanchok","RaviOpi","Raviopi"
"Kavrepalanchok","RyaleBhir","Ryalebhir"
"Kavrepalanchok","SalleBhumlu","Sallebhumlu"
"Kavrepalanchok","SikharAmbote","Sikharambote"
"Kavrepalanchok","Salmechakala(Taldhu","Salmechakala(Taldhunga)"
"Kavrepalanchok","SankhupatiChour","Sankhupatichour"
"Kavrepalanchok","SaradaBatase","Saradabatase"
"Khotang","Badaka Diyale","Badakadiyale"
"Khotang","RakhaDipsung","Rakhadipsung"
"Khotang","RatanchaMajhagau","Ratanchamajhagau"
"Khotang","Dandagoun","Dandagaun"
"Khotang","DumreDharapani","Dumredharapani"
"Khotang","MattimBirta","Mattimbirta"
"Khotang","Mahadevsthan","Mahadevasthan"
"Khotang","Likuwapokhari","Linkuwapokhari"
"Khotang","RakhaBangdel","Rakhabangdel"
"Lalitpur","Asrang","Ashrang"
"Lalitpur","Sidhdipur","Siddhipur"
"Lalitpur","LalitpurN.P.","Lalitpur N.P."
"Lamjung","Isaneshwar","Isaneshwor"
"Lamjung","ShreeBhanjyang","Shreebhanjyang"
"Mahottari","BairgiyaLaxminiya","Bairgiyalaxminiya"
"Mahottari","SugaVawani","Sugavawani"
"Mahottari","HariharpurHarinamar","Hariharpurharinamari"
"Mahottari","ParsaDewadh","Parsadewadh"
"Mahottari","BairgiyaBanchauri","Bairgiyabanchauri"
"Mahottari","BanauliDonauli","Banaulidonauli"
"Mahottari","GaidahaBhelpur","Gaidahabhelpur"
"Mahottari","FulahattaParikauli","Fulahattaparikauli"
"Mahottari","JaleshworN.P.","Jaleshwar N.P."
"Mahottari","MajhoraBishnupur","Majhorabishnupur"
"Mahottari","KhayarMara","Khayarmara"
"Mahottari","ParsaPateli","Parsapateli"
"Mahottari","KisanNagar","Kisannagar"
"Mahottari","MeghanathGorahanna","Meghanathgorahanna"
"Mahottari","PokharibhindaSamgra","Pokharibhindasamgrampur"
"Mahottari","KolhuwaBagaicha","Kolhuwabagaicha"
"Mahottari","Sreepur","Shreepur"
"Makwanpur","SisneriMahadevsthan","Sisnerimahadevsthan"
"Makwanpur","ShreepurChhatiwan","Shreepurchhatiwan"
"Makwanpur","PadamPokhari","Padampokhari"
"Makwanpur","IpaPanchakanya","Ipapanchakanya"
"Makwanpur","HetaudaN.P.","Hetauda N.P."
"Makwanpur","BhartaPundyadevi","Bhartapundyadevi"
"Makwanpur","TistungDeurali","Tistungdeurali"
"Makwanpur","SarikhetPalase","Sarikhetpalase"
"Manang","TankiManang","Tankimanang"
"Manang","TachiBagarchhap","Tachibagarchhap"
"Morang","BiratnagarN.P.","Biratnagar N.P."
"Mugu","RaraKalai","Rarakalai"
"Mugu","ShreeNagar","Shreenagar"
"Mugu","Shreekot","Shrikot"
"Myagdi","RakhuBhagawati","Rakhubhagawati"
"Myagdi","HisthanMandali","Histhanmandali"
"Myagdi","GurjaKhani","Gurjakhani"
"Myagdi","Dhar","Dana"
"Myagdi","RakhuPiple","Rakhupiple"
"Myagdi","Patalekhet","Patlekhet"
"Nawalparasi","ThuloKhairatawa","Thulokhairatawa"
"Nawalparasi","RamgramN.P.","Ramgram N.P."
"Nawalparasi","GuthiSuryapura","Guthisuryapura"
"Nawalparasi","DawanneDevi","Dawannedevi"
"Nawalparasi","Badahara Dubauliya","Badaharadubauliya"
"Nawalparasi","Prasauni","Parsauni"
"Nawalparasi","Pratapapur","Pratappur"
"Nawalparasi","UpalloArkhale","Upalloarkhale"
"Nawalparasi","GuthiParsauni","Guthiparsauni"
"Nawalparasi","DadajheriTadi","Dadajheritadi"
"Nawalparasi","NayaBelhani","Nayabelhani"
"Nuwakot","BagesworiChokade","Bagesworichokade"
"Nuwakot","BidurN.P.","Bidur N.P."
"Nuwakot","KhadagBhanjyang","Khadagbhanjyang"
"Nuwakot","KholegaunKhanigau","Kholegaunkhanigaun"
"Nuwakot","Betini","Beteni"
"Okhaldhunga","Andheri (Narayanstha","Andheri(Narayansthan)"
"Okhaldhunga","Kaptigaun(Khigikati","Kaptigaun(Khigikati)"
"Okhaldhunga","KhijiChandeshwori.","Khijichandeshwori."
"Okhaldhunga","SisneriMahadevsthan","Sisneri"
"Palpa","Siddheswor","Siddheshwor"
"Palpa","TansenN.P.","Tansen N.P."
"Palpa","BodhaPokharathok","Bodhapokharathok"
"Parbat","ThanaMaulo","Thanamaulo"
"Parbat","BihadiBarachaur","Bihadibarachaur"
"Parbat","BihadiRanipani","Bihadiranipani"
"Parbat","BitalawaPipaltari","Bitalawapipaltari"
"Parbat","LunkhuDeurali","Lunkhudeurali"
"Parbat","Arthar Dadakharka","Arthardadakharka"
"Parbat","Banskharka","Baskharka"
"Parbat","ShankarPokhari","Shankarpokhari"
"Parbat","MajhphantMallaj","Majhphantmallaj"
"Parbat","KhaulaLakuri","Khaulalakuri"
"Parbat","FalebasDevisthan","Falebasdevisthan"
"Parbat","FulebasKhanigaun","Fulebaskhanigaun"
"Parsa","BageshwariTirtrona","Bageshwaritirtrona"
"Parsa","SugauliBirta","Sugaulibirta"
"Parsa","GhoddaudaPipra","Ghoddaudapipra"
"Parsa","JagaranathpurSira","Jagaranathpursira"
"Parsa","KauwaBanKataiya","Kauwabankataiya"
"Parsa","ParsauniBirta","Parsaunibirta"
"Parsa","LipaniBirta","Lipanibirta"
"Parsa","MadhubanMathaul","Madhubanmathaul"
"Parsa","BirgunjN.P.","Birganj N.P."
"Parsa","SakhuwaPrasauni","Sakhuwaprasauni"
"Parsa","BeriyaBirta","Beriyabirta"
"Parsa","SirsiyaKhalwatola","Sirsiyakhalwatola"
"Parsa","BahauriPidari","Bahauripidari"
"Parsa","SugauliPartewa","Sugaulipartewa"
"Parsa","TulasiBarba","Tulasibarba"
"Parsa","UdayapurDhurmi","Udayapurdhurmi"
"Parsa","BeriyaBirta(Wa.Pu.)","Beriyabirta(Wa.Pu.)"
"Parsa","BelwaParsouni","Belwaparsouni"
"Parsa","ShivaWorga","Shivaworga"
"Parsa","BeriyaBirta(Wa.Pu.)","Beriyabirta(Wa.Pu.)"
"Parsa","Sreesiya(Nau.Ta.Ja.","Sreesiya(Nau.Ta.Ja.)"
"Parsa","HariharpurBirta","Hariharpurbirta"
"Parsa","ParsauniMatha","Parsaunimatha"
"Parsa","GhoddaudaPipra","Ghoddaudapipra"
"Parsa","Basantapur","Basantpur"
"Parsa","JhouwaGuthi","Jhouwaguthi"
"Pyuthan","RuspurKot","Ruspurkot"
"Pyuthan","PythanKhalanga","Pythankhalanga"
"Pyuthan","Dhobaghat(UdayapurKo","Dhobaghat(Udayapurkot)"
"Ramechhap","NagaDaha","Nagadaha"
"Ramechhap","BamtiBhandar","Bamtibhandar"
"Ramechhap","GunsiBhadaure","Gunsibhadaure"
"Rautahat","RajpurTulsi","Rajpurtulsi"
"Rautahat","Pratappur Paltuwa","Pratappurpaltuwa"
"Rautahat","GarudaBairiya","Garudabairiya"
"Rautahat","BahuwaMadanpur","Bahuwamadanpur"
"Rautahat","PipraRajbara","Piprarajbara"
"Rautahat","NarkatiyaGuthi","Narkatiyaguthi"
"Rautahat","GaurN.P.","Gaur N.P."
"Rautahat","PipraBhagwanpur","Piprabhagwanpur"
"Rautahat","ShitalpurBairgania","Shitalpurbairgania"
"Rautahat","PrempurGunahi","Prempurgunahi"
"Rautahat","Ramoli Bairiya","Ramolibairiya"
"Rautahat","KarkachKarmaiya","Karkachkarmaiya"
"Rautahat","FatuwaHarsaha","Fatuwaharsaha"
"Rautahat","SimaraBhawanipur","Simarabhawanipur"
"Rautahat","IharbariJyutahi","Iharbarijyutahi"
"Rautahat","Laximiniya","Laxminiya"
"Rautahat","GamhariyaParsa","Gamhariyaparsa"
"Rautahat","Ramoli Bairiya","Ramolibairiya"
"Rautahat","GamhariyaBirta","Gamhariyabirta"
"Rautahat","FatuwaHarsaha","Fatuwaharsaha"
"Rautahat","FatuhaMaheshpur","Fatuhamaheshpur"
"Rautahat","BasbitiJingadiya","Basbitijingadiya"
"Rautahat","PatharaBudharampur","Patharabudharampur"
"Rautahat","SakhuwaDhamaura","Sakhuwadhamaura"
"Rautahat","Dharmapur","Dharampur"
"Rautahat","PiparaPokhariya","Piparapokhariya"
"Rautahat","JingadawaBelbichwa","Jingadawabelbichwa"
"Rolpa","JauliPokhari","Jaulipokhari"
"Rukum","AathbisDanda","Aathbisdanda"
"Rukum","AathbisKot","Aathbiskot"
"Rukum","MusikotKhalanga","Musikotkhalanga"
"Rupandehi","ManMateriya","Manmateriya"
"Rupandehi","SameraMarchwar","Sameramarchwar"
"Rupandehi","PakadiSakron","Pakadisakron"
"Rupandehi","SiddharthNagarN.P.","Siddharthanagar N.P."
"Rupandehi","SourahaPharsatikar","Sourahapharsatikar"
"Rupandehi","ChhotakiRamnagar","Chhotakiramnagar"
"Rupandehi","KhadawaBangai","Khadawabangai"
"Rupandehi","HatiPharsatikar","Hatipharsatikar"
"Rupandehi","HatiBangai","Hatibangai"
"Rupandehi","Bhaganpur","Bhagawanpur"
"Rupandehi","ThumhawaPiprahawa","Thumhawapiprahawa"
"Rupandehi","ButawalN.P.","Butawal N.P."
"Salyan","SaijuwalTakura","Saijuwaltakura"
"Salyan","Siddheswari","Siddheshwari"
"Salyan","SarpaniGarpa","Sarpanigarpa"
"Salyan","Bafukhola","Waphukhola"
"Salyan","Dandagoun","Dandagaun"
"Salyan","Laxmipur","Laksmipur"
"Salyan","KalimatiKalche","Kalimatikalche"
"Salyan","KalimatiRampur","Kalimatirampur"
"Sankhuwasabha","MadiRambeni","Madirambeni"
"Sankhuwasabha","KhandbariN.P.","Khandbari N.P."
"Sankhuwasabha","MadiMulkharka","Madimulkharka"
"Saptari","ItahariBishnupur","Itaharibishnupur"
"Saptari","InarwaFulpariya","Inarwafulpariya"
"Saptari","RajbirajN.P.","Rajbiraj N.P."
"Saptari","BirpurBarahi","Birpurbarahi"
"Saptari","BirpurBarahi","Birpurbarahi"
"Saptari","InarwaFulpariya","Inarwafulpariya"
"Saptari","GobarGada","Gobargada"
"Saptari","GamhariyaParwaha","Gamhariyaparwaha"
"Saptari","SimrahaSigiyoun","Simrahasigiyoun"
"Saptari","Sarswar","Saraswor"
"Saptari","SiswaBeihi","Siswabeihi"
"Saptari","Kabilas","Kabilash"
"Sarlahi","Shankarpur","Sankarpur"
"Sarlahi","TribhuwanNagar","Tribhuwannagar"
"Sarlahi","SundarpurChuldawa","Sundarpurchuldawa"
"Sarlahi","BelwaJabdi","Belwajabdi"
"Sarlahi","RamnagarBahaur","Ramnagarbahaur"
"Sarlahi","MalangawaN.P.","Malangawa  N.P."
"Sarlahi","LaxmipurSu.","Laxmipursu."
"Sarlahi","LaxmipurKodraha","Laxmipurkodraha"
"Sarlahi","NarayanKhola","Narayankhola"
"Sarlahi","DhanakaulPurba","Dhanakaulpurba"
"Sarlahi","DhanakaulPachhiyati","Dhanakaulpachhiyati"
"Sarlahi","ChandraNagar","Chandranagar"
"Sarlahi","BaraUdhoran","Baraudhoran"
"Sarlahi","JanakiNagar","Janakinagar"
"Sindhuli","SunamPokhari","Sunampokhari"
"Sindhuli","TribhuvanAmbote","Tribhuvanambote"
"Sindhuli","KusesworDumja","Kuseswordumja"
"Sindhuli","BhuwaneshoriGwaltar","Bhuwaneshorigwaltar"
"Sindhuli","BitijorBagaiya","Bitijorbagaiya"
"Sindhuli","HariharpurGadhi","Hariharpurgadhi"
"Sindhuli","JhangajholiRalmata","Jhangajholiralmata"
"Sindhuli","KakurThakur","Kakurthakur"
"Sindhuli","PuranoJhangajholi","Puranojhangajholi"
"Sindhuli","KamalamiN.P.","Kamalamai N.P."
"Sindhupalchowk","ThuloDhading","Thulodhading"
"Sindhupalchowk","Pipaldada","Pipaldanda"
"Sindhupalchowk","ThumPakhar","Thumpakhar"
"Sindhupalchowk","ThampalChhap","Thampalchhap"
"Sindhupalchowk","SyauleBazar","Syaulebazar"
"Sindhupalchowk","SipalKavre","Sipalkavre"
"Sindhupalchowk","Lagarche","Langarche"
"Sindhupalchowk","BhoteNamlang","Bhotenamlang"
"Sindhupalchowk","Bahrabise","Barhabise"
"Sindhupalchowk","Dhuyang","Dhumthang"
"Sindhupalchowk","ThuloSirubari","Thulosirubari"
"Sindhupalchowk","ThuloPakhar","Thulopakhar"
"Sindhupalchowk","SipaPokhare","Sipapokhare"
"Siraha","Hanumannagar(Pra.Dh","Hanumannagar(Pra.Dha.)"
"Siraha","Ashokpur Balkawa","Ashokpurbalkawa"
"Siraha","BishnupurPra.Ma.","Bishnupurpra.Ma."
"Siraha","GovindapurMalahanam","Govindapurmalahanama"
"Siraha","MaheshpurGamharia","Maheshpurgamharia"
"Siraha","LagadiGadiyani","Lagadigadiyani"
"Siraha","LahanN.P.","Lahan N.P."
"Siraha","KalyanpurJabadi","Kalyanpurjabadi"
"Siraha","SitapurPra.Da.","Sitapurpra.Da."
